SL,Company Visited,Type of Offer,Eligible Students,Applied Students,Status,Annual CTC Offered,CST,CST.1,ETC,ETC.1,ETC.2,EE,EE.1,EE.2,IT,IT.1,IT.2,ME,ME.1,ME.2,CE,CE.1,CE.2,MET,MET.1,MET.2,MIN,MIN.1,ARC,ARC.1,AERO,AERO.1,VLSI,Mat Science,Mechatronics,Food Proc.,REST,Bio - Medical,Safety,Phys,Mths,Chem,MBA,Earth Science,Total
,,,,,,"Rs. In
Lakh(p/a)",UG,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,DD,PG,UG,PG,UG,PG,UG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,
50.0,Tata Power,Core Engineering,135,71,Offered,5.5,,,0,,,7,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
51.0,DCG AI Lab Academy,Education,25,14,Pending,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
52.0,TRAI,Core Engineering,22,13,Pending,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
53.0,Abzooba India Infotech,Development,54,28,Offered,6,0,,0,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
54.0,Aakash Institute,Education,557,247,Offered,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,0,1.0
55.0,Zycus,Operation,522,268,Completed,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,0,,0.0
56.0,CGI Information Systems,Development,114,51,Offered,6.8,2,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
57.0,Hyundai Motor India Ltd.,Core Engineering,145,108,Offered,8,,,,,,0,0,0,,,,0,0,2,,,,,,,,,,,,,,,0,,,,,,,,,,2.0
58.0,Elegant Marine Services Pvt. Ltd.,Core Engineering,47,8,Offered,7,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
59.0,Worley India Pvt. Ltd.,Core Engineering,123,62,Offered,4,,,,,,0,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,3.0
60.0,WSP India,Core Engineering,59,36,Offered,5,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,1.0
61.0,Vedanta Ltd.,Core Engineering,53,41,Offered,7.95,,,,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,6.0
62.0,Electrosteel Casting Ltd.,Development,25,16,Offered,4.5,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1.0
63.0,Tega Industries Ltd.,Core Engineering,43,25,Offered,4,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
64.0,Ori-Plast Ltd.,Core Engineering,105,60,Pending,,,,,,,,,,,,,,,,0,,0,,,,,,0,,,0,,,,,,,,,,,,,0.0
65.0,Acxiom Consulting,Consulting,50,23,Offered,5,0,0,0,0,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2.0
66.0,IRIS Business Services Ltd.,Development,42,16,Completed,5,0,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
67.0,Maruti Suzuki India Ltd.,Core Engineering,42,34,Offered,8.4,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
68.0,Tata Steel Ltd. (Systems),Development,26,16,Offered,8.8,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
69.0,Tractebel GKW GmbH,Core Engineering,64,38,Offered,5,,,,,,,,,,,,,,,3,1,0,,,,,,,,,,,,,,,,,,,,,,4.0
70.0,Linde India Ltd.,Core Engineering,89,55,"Partly
offered",5,,,,,,0,,,,,,1,,,1,,,0,,,,,,,,,,,,,,,,,,,,,2.0
